real_time,simulated_time,pressure_bar,pressure_state,motion,distance_cm,room_state
2025-12-04T11:32:29.271570,12:22,0,empty,OUT,999,room_empty
2025-12-04T11:32:29.771747,12:24,0,empty,IN,999,moving_in_room
2025-12-04T11:32:30.272039,12:25,0,empty,IN,999,moving_in_room
2025-12-04T11:32:30.772244,12:26,0,empty,IN,999,moving_in_room
2025-12-04T11:32:31.272446,12:27,0,empty,IN,999,moving_in_room
2025-12-04T11:32:31.772650,12:28,0,empty,IN,999,moving_in_room
2025-12-04T11:32:32.272848,12:30,0,empty,IN,999,moving_in_room
2025-12-04T11:32:32.773047,12:31,0,empty,IN,999,moving_in_room
2025-12-04T11:32:33.273331,12:32,0,empty,IN,999,moving_in_room
2025-12-04T11:32:33.773503,12:33,0,empty,IN,999,moving_in_room
2025-12-04T11:32:34.273670,12:34,0,empty,IN,999,moving_in_room
2025-12-04T11:32:34.773828,12:36,0,empty,IN,999,moving_in_room
2025-12-04T11:32:35.273994,12:37,0,empty,IN,999,moving_in_room
2025-12-04T11:32:35.774170,12:38,0,empty,IN,999,moving_in_room
2025-12-04T11:32:36.274424,12:39,0,empty,IN,999,moving_in_room
2025-12-04T11:32:36.774598,12:40,0,empty,IN,999,moving_in_room
2025-12-04T11:32:37.274766,12:42,0,empty,IN,999,moving_in_room
2025-12-04T11:32:37.774923,12:43,0,empty,IN,999,moving_in_room
2025-12-04T11:32:38.275114,12:44,0,empty,IN,999,moving_in_room
2025-12-04T11:32:38.775304,12:45,0,empty,IN,999,moving_in_room
2025-12-04T11:32:39.275939,12:46,0,empty,IN,999,moving_in_room
2025-12-04T11:32:39.776144,12:48,0,empty,IN,999,moving_in_room
2025-12-04T11:32:40.276325,12:49,0,empty,OUT,999,room_empty
2025-12-04T11:32:40.776522,12:50,0,empty,OUT,999,room_empty
2025-12-04T11:32:41.276718,12:51,0,empty,OUT,999,room_empty
2025-12-04T11:32:41.776923,12:52,0,empty,OUT,999,room_empty
2025-12-04T11:32:42.277253,12:54,0,empty,OUT,999,room_empty
2025-12-04T11:32:42.777456,12:55,0,empty,OUT,999,room_empty
2025-12-04T11:32:43.277643,12:56,0,empty,OUT,999,room_empty
2025-12-04T11:32:43.777845,12:57,0,empty,OUT,999,room_empty
2025-12-04T11:32:44.278043,12:58,0,empty,OUT,999,room_empty
2025-12-04T11:32:44.778251,13:00,0,empty,OUT,999,room_empty
2025-12-04T11:32:45.278904,13:01,0,empty,OUT,999,room_empty
2025-12-04T11:32:45.779110,13:02,0,empty,OUT,999,room_empty
2025-12-04T11:32:46.279303,13:03,0,empty,OUT,999,room_empty
2025-12-04T11:32:46.779507,13:04,0,empty,OUT,999,room_empty
2025-12-04T11:32:47.279700,13:06,0,empty,IN,999,moving_in_room
2025-12-04T11:32:47.779906,13:07,0,empty,IN,999,moving_in_room
2025-12-04T11:32:48.280446,13:08,0,empty,IN,999,moving_in_room
2025-12-04T11:32:48.780660,13:09,0,empty,IN,999,moving_in_room
2025-12-04T11:32:49.280857,13:10,0,empty,IN,999,moving_in_room
2025-12-04T11:32:49.781078,13:12,0,empty,IN,999,moving_in_room
2025-12-04T11:32:50.281269,13:13,0,empty,IN,999,moving_in_room
